,BAC Evaluation Batch,Gym Batch Reward,User Defined Batch Reward
0,968,-99.9,-999
1,999,-99.9,-999
2,999,-99.9,-999
3,636,39.6,-604
4,999,-99.9,-999
5,999,-99.9,-999
6,999,-99.9,-999
7,999,-99.9,-999
8,999,-99.9,-999
9,526.1,85.2,-148
10,170.3,74.8,-252
11,999,-99.9,-999
12,999,-99.9,-999
13,999,-99.9,-999
14,999,-99.9,-999
15,999,-99.9,-999
16,999,-99.9,-999
17,999,-99.9,-999
18,999,-99.9,-999
19,999,-99.9,-999
