,Episode Batch,Learning Rate,Mean Absolute Error,Mean Squared Error,Batch Gym Reward,Batch User Reward,Avg. Episode Length (t),BAC Gradient,Policy Evolution
0,1.0,0.025,1.3370220745852217,1.7876280279281702,-394.3000000000201,-4943.0,988.6,"[[ 0.01626342]
 [ 0.05310921]
 [ 0.09597295]
 [ 0.09597295]
 [ 0.04026553]
 [ 0.1314896 ]
 [ 0.23761311]
 [ 0.23761311]
 [ 0.05516658]
 [ 0.18014989]
 [ 0.32554646]
 [ 0.32554646]
 [ 0.04182535]
 [ 0.1365833 ]
 [ 0.24681786]
 [ 0.24681786]
 [-0.01626342]
 [-0.05310921]
 [-0.09597295]
 [-0.09597295]
 [-0.04026553]
 [-0.1314896 ]
 [-0.23761311]
 [-0.23761311]
 [-0.05516658]
 [-0.18014989]
 [-0.32554646]
 [-0.32554646]
 [-0.04182535]
 [-0.1365833 ]
 [-0.24681786]
 [-0.24681786]]","[[ 0.00040659]
 [ 0.00132773]
 [ 0.00239932]
 [ 0.00239932]
 [ 0.00100664]
 [ 0.00328724]
 [ 0.00594033]
 [ 0.00594033]
 [ 0.00137916]
 [ 0.00450375]
 [ 0.00813866]
 [ 0.00813866]
 [ 0.00104563]
 [ 0.00341458]
 [ 0.00617045]
 [ 0.00617045]
 [-0.00040659]
 [-0.00132773]
 [-0.00239932]
 [-0.00239932]
 [-0.00100664]
 [-0.00328724]
 [-0.00594033]
 [-0.00594033]
 [-0.00137916]
 [-0.00450375]
 [-0.00813866]
 [-0.00813866]
 [-0.00104563]
 [-0.00341458]
 [-0.00617045]
 [-0.00617045]]"
1,2.0,0.025,0.8046563109214,1.2949435574112735,-336.8000000000024,-4368.0,873.6,"[[-0.58038592]
 [-1.06409727]
 [-1.08920229]
 [-0.56599018]
 [-0.73909994]
 [-1.4465613 ]
 [-1.63242594]
 [-0.97638858]
 [-0.57268611]
 [-1.27896346]
 [-1.75000278]
 [-1.39975544]
 [-0.29599563]
 [-0.82155561]
 [-1.4550364 ]
 [-1.56709787]
 [ 0.58038592]
 [ 1.06409727]
 [ 1.08920229]
 [ 0.56599018]
 [ 0.73909994]
 [ 1.4465613 ]
 [ 1.63242594]
 [ 0.97638858]
 [ 0.57268611]
 [ 1.27896346]
 [ 1.75000278]
 [ 1.39975544]
 [ 0.29599563]
 [ 0.82155561]
 [ 1.4550364 ]
 [ 1.56709787]]","[[-0.01410306]
 [-0.0252747 ]
 [-0.02483073]
 [-0.01175043]
 [-0.01747086]
 [-0.03287679]
 [-0.03487032]
 [-0.01846939]
 [-0.01293799]
 [-0.02747034]
 [-0.03561141]
 [-0.02685522]
 [-0.00635426]
 [-0.01712431]
 [-0.03020546]
 [-0.033007  ]
 [ 0.01410306]
 [ 0.0252747 ]
 [ 0.02483073]
 [ 0.01175043]
 [ 0.01747086]
 [ 0.03287679]
 [ 0.03487032]
 [ 0.01846939]
 [ 0.01293799]
 [ 0.02747034]
 [ 0.03561141]
 [ 0.02685522]
 [ 0.00635426]
 [ 0.01712431]
 [ 0.03020546]
 [ 0.033007  ]]"
2,3.0,0.025,0.32823644170445365,0.3232174849884036,-499.5000000000451,-4995.0,999.0,"[[ 0.2540081 ]
 [ 0.44575264]
 [ 0.45681542]
 [ 0.28328874]
 [ 0.6048601 ]
 [ 1.06084667]
 [ 1.08969186]
 [ 0.68356898]
 [ 0.79840948]
 [ 1.40368064]
 [ 1.45630682]
 [ 0.93996177]
 [ 0.58490564]
 [ 1.03624436]
 [ 1.10035097]
 [ 0.75051099]
 [-0.2540081 ]
 [-0.44575264]
 [-0.45681542]
 [-0.28328874]
 [-0.6048601 ]
 [-1.06084667]
 [-1.08969186]
 [-0.68356898]
 [-0.79840948]
 [-1.40368064]
 [-1.45630682]
 [-0.93996177]
 [-0.58490564]
 [-1.03624436]
 [-1.10035097]
 [-0.75051099]]","[[-0.00775286]
 [-0.01413089]
 [-0.01341035]
 [-0.00466821]
 [-0.00234936]
 [-0.00635563]
 [-0.00762802]
 [-0.00138016]
 [ 0.00702225]
 [ 0.00762168]
 [ 0.00079626]
 [-0.00335618]
 [ 0.00826838]
 [ 0.0087818 ]
 [-0.00269669]
 [-0.01424423]
 [ 0.00775286]
 [ 0.01413089]
 [ 0.01341035]
 [ 0.00466821]
 [ 0.00234936]
 [ 0.00635563]
 [ 0.00762802]
 [ 0.00138016]
 [-0.00702225]
 [-0.00762168]
 [-0.00079626]
 [ 0.00335618]
 [-0.00826838]
 [-0.0087818 ]
 [ 0.00269669]
 [ 0.01424423]]"
3,4.0,0.025,0.14836957149199403,0.08805411897887172,-499.5000000000451,-4995.0,999.0,"[[-0.08638153]
 [-0.27342354]
 [-0.4704291 ]
 [-0.43151211]
 [-0.20645151]
 [-0.63792256]
 [-1.0579462 ]
 [-0.90610306]
 [-0.28720993]
 [-0.85211902]
 [-1.32651537]
 [-0.99595627]
 [-0.24369893]
 [-0.68094514]
 [-0.96033578]
 [-0.5579466 ]
 [ 0.08638153]
 [ 0.27342354]
 [ 0.4704291 ]
 [ 0.43151211]
 [ 0.20645151]
 [ 0.63792256]
 [ 1.0579462 ]
 [ 0.90610306]
 [ 0.28720993]
 [ 0.85211902]
 [ 1.32651537]
 [ 0.99595627]
 [ 0.24369893]
 [ 0.68094514]
 [ 0.96033578]
 [ 0.5579466 ]]","[[-0.0099124 ]
 [-0.02096647]
 [-0.02517108]
 [-0.01545602]
 [-0.00751065]
 [-0.02230369]
 [-0.03407668]
 [-0.02403274]
 [-0.000158  ]
 [-0.0136813 ]
 [-0.03236662]
 [-0.02825509]
 [ 0.00217591]
 [-0.00824183]
 [-0.02670508]
 [-0.02819289]
 [ 0.0099124 ]
 [ 0.02096647]
 [ 0.02517108]
 [ 0.01545602]
 [ 0.00751065]
 [ 0.02230369]
 [ 0.03407668]
 [ 0.02403274]
 [ 0.000158  ]
 [ 0.0136813 ]
 [ 0.03236662]
 [ 0.02825509]
 [-0.00217591]
 [ 0.00824183]
 [ 0.02670508]
 [ 0.02819289]]"
4,5.0,0.025,0.29702464934556005,0.4411182115942645,-499.5000000000451,-4995.0,999.0,"[[ 0.02488276]
 [ 0.08125621]
 [ 0.14683702]
 [ 0.14683702]
 [ 0.05487714]
 [ 0.1792047 ]
 [ 0.32383843]
 [ 0.32383843]
 [ 0.06697385]
 [ 0.21870729]
 [ 0.39522303]
 [ 0.39522303]
 [ 0.04523141]
 [ 0.147706  ]
 [ 0.26691754]
 [ 0.26691754]
 [-0.02488276]
 [-0.08125621]
 [-0.14683702]
 [-0.14683702]
 [-0.05487714]
 [-0.1792047 ]
 [-0.32383843]
 [-0.32383843]
 [-0.06697385]
 [-0.21870729]
 [-0.39522303]
 [-0.39522303]
 [-0.04523141]
 [-0.147706  ]
 [-0.26691754]
 [-0.26691754]]","[[-0.00929033]
 [-0.01893507]
 [-0.02150015]
 [-0.01178509]
 [-0.00613872]
 [-0.01782357]
 [-0.02598072]
 [-0.01593678]
 [ 0.00151635]
 [-0.00821362]
 [-0.02248605]
 [-0.01837451]
 [ 0.0033067 ]
 [-0.00454918]
 [-0.02003215]
 [-0.02151995]
 [ 0.00929033]
 [ 0.01893507]
 [ 0.02150015]
 [ 0.01178509]
 [ 0.00613872]
 [ 0.01782357]
 [ 0.02598072]
 [ 0.01593678]
 [-0.00151635]
 [ 0.00821362]
 [ 0.02248605]
 [ 0.01837451]
 [-0.0033067 ]
 [ 0.00454918]
 [ 0.02003215]
 [ 0.02151995]]"
5,6.0,0.025,0.022166480565533626,0.00294811716397308,-279.7000000000121,-4797.0,959.4,"[[ 0.13363783]
 [ 0.43424787]
 [ 0.78938562]
 [ 0.80118981]
 [ 0.34028512]
 [ 1.10018305]
 [ 2.00855211]
 [ 2.06253051]
 [ 0.52049764]
 [ 1.66863192]
 [ 3.06463677]
 [ 3.2011517 ]
 [ 0.49360441]
 [ 1.5637343 ]
 [ 2.89119723]
 [ 3.0821398 ]
 [-0.13363783]
 [-0.43424787]
 [-0.78938562]
 [-0.80118981]
 [-0.34028512]
 [-1.10018305]
 [-2.00855211]
 [-2.06253051]
 [-0.52049764]
 [-1.66863192]
 [-3.06463677]
 [-3.2011517 ]
 [-0.49360441]
 [-1.5637343 ]
 [-2.89119723]
 [-3.0821398 ]]","[[-0.00594938]
 [-0.00807887]
 [-0.00176551]
 [ 0.00824466]
 [ 0.00236841]
 [ 0.009681  ]
 [ 0.02423308]
 [ 0.03562648]
 [ 0.01452879]
 [ 0.03350218]
 [ 0.05412987]
 [ 0.06165428]
 [ 0.01564681]
 [ 0.03454418]
 [ 0.05224779]
 [ 0.05553354]
 [ 0.00594938]
 [ 0.00807887]
 [ 0.00176551]
 [-0.00824466]
 [-0.00236841]
 [-0.009681  ]
 [-0.02423308]
 [-0.03562648]
 [-0.01452879]
 [-0.03350218]
 [-0.05412987]
 [-0.06165428]
 [-0.01564681]
 [-0.03454418]
 [-0.05224779]
 [-0.05553354]]"
6,7.0,0.025,0.19468272480384924,0.2653095433593591,-499.5000000000451,-4995.0,999.0,"[[-0.02141401]
 [-0.06992878]
 [-0.12636737]
 [-0.12636737]
 [-0.05154691]
 [-0.16832965]
 [-0.30418626]
 [-0.30418626]
 [-0.06866388]
 [-0.22422617]
 [-0.40519612]
 [-0.40519612]
 [-0.05061451]
 [-0.16528483]
 [-0.29868401]
 [-0.29868401]
 [ 0.02141401]
 [ 0.06992878]
 [ 0.12636737]
 [ 0.12636737]
 [ 0.05154691]
 [ 0.16832965]
 [ 0.30418626]
 [ 0.30418626]
 [ 0.06866388]
 [ 0.22422617]
 [ 0.40519612]
 [ 0.40519612]
 [ 0.05061451]
 [ 0.16528483]
 [ 0.29868401]
 [ 0.29868401]]","[[-0.00648473]
 [-0.00982709]
 [-0.00492469]
 [ 0.00508547]
 [ 0.00107974]
 [ 0.00547276]
 [ 0.01662843]
 [ 0.02802183]
 [ 0.01281219]
 [ 0.02789653]
 [ 0.04399997]
 [ 0.05152438]
 [ 0.01438144]
 [ 0.03041206]
 [ 0.04478069]
 [ 0.04806644]
 [ 0.00648473]
 [ 0.00982709]
 [ 0.00492469]
 [-0.00508547]
 [-0.00107974]
 [-0.00547276]
 [-0.01662843]
 [-0.02802183]
 [-0.01281219]
 [-0.02789653]
 [-0.04399997]
 [-0.05152438]
 [-0.01438144]
 [-0.03041206]
 [-0.04478069]
 [-0.04806644]]"
7,8.0,0.025,0.16954791662230728,0.2299719682477189,-499.5000000000451,-4995.0,999.0,"[[ 0.67031558]
 [ 1.39311999]
 [ 1.8180927 ]
 [ 1.43723437]
 [ 1.0881931 ]
 [ 2.4523567 ]
 [ 3.42389815]
 [ 2.85724626]
 [ 1.20873862]
 [ 2.90256343]
 [ 4.20519055]
 [ 3.5845182 ]
 [ 0.97546264]
 [ 2.3791837 ]
 [ 3.41308582]
 [ 2.85141512]
 [-0.67031558]
 [-1.39311999]
 [-1.8180927 ]
 [-1.43723437]
 [-1.0881931 ]
 [-2.4523567 ]
 [-3.42389815]
 [-2.85724626]
 [-1.20873862]
 [-2.90256343]
 [-4.20519055]
 [-3.5845182 ]
 [-0.97546264]
 [-2.3791837 ]
 [-3.41308582]
 [-2.85141512]]","[[ 0.01027316]
 [ 0.02500091]
 [ 0.04052762]
 [ 0.04101633]
 [ 0.02828457]
 [ 0.06678168]
 [ 0.10222588]
 [ 0.09945298]
 [ 0.04303066]
 [ 0.10046061]
 [ 0.14912973]
 [ 0.14113733]
 [ 0.03876801]
 [ 0.08989165]
 [ 0.13010783]
 [ 0.11935182]
 [-0.01027316]
 [-0.02500091]
 [-0.04052762]
 [-0.04101633]
 [-0.02828457]
 [-0.06678168]
 [-0.10222588]
 [-0.09945298]
 [-0.04303066]
 [-0.10046061]
 [-0.14912973]
 [-0.14113733]
 [-0.03876801]
 [-0.08989165]
 [-0.13010783]
 [-0.11935182]]"
8,9.0,0.025,0.10398044580635046,0.09730739799078647,-499.5000000000451,-4995.0,999.0,"[[ 0.0036555 ]
 [-0.39800802]
 [-0.86070967]
 [-0.86502194]
 [-0.06013698]
 [-0.63119921]
 [-1.21922478]
 [-1.15635317]
 [-0.26733798]
 [-0.80460607]
 [-1.18907567]
 [-0.98646301]
 [-0.38630027]
 [-0.74786362]
 [-0.84925767]
 [-0.58514663]
 [-0.0036555 ]
 [ 0.39800802]
 [ 0.86070967]
 [ 0.86502194]
 [ 0.06013698]
 [ 0.63119921]
 [ 1.21922478]
 [ 1.15635317]
 [ 0.26733798]
 [ 0.80460607]
 [ 1.18907567]
 [ 0.98646301]
 [ 0.38630027]
 [ 0.74786362]
 [ 0.84925767]
 [ 0.58514663]]","[[ 0.01036454]
 [ 0.01505071]
 [ 0.01900988]
 [ 0.01939078]
 [ 0.02678114]
 [ 0.0510017 ]
 [ 0.07174526]
 [ 0.07054416]
 [ 0.03634721]
 [ 0.08034546]
 [ 0.11940284]
 [ 0.11647576]
 [ 0.0291105 ]
 [ 0.07119506]
 [ 0.10887639]
 [ 0.10472315]
 [-0.01036454]
 [-0.01505071]
 [-0.01900988]
 [-0.01939078]
 [-0.02678114]
 [-0.0510017 ]
 [-0.07174526]
 [-0.07054416]
 [-0.03634721]
 [-0.08034546]
 [-0.11940284]
 [-0.11647576]
 [-0.0291105 ]
 [-0.07119506]
 [-0.10887639]
 [-0.10472315]]"
9,10.0,0.025,0.08046715151606298,0.06474962473109037,-499.5000000000451,-4995.0,999.0,"[[-0.12811544]
 [ 0.04189321]
 [ 0.6236241 ]
 [ 1.13045255]
 [ 0.20913842]
 [ 0.52288179]
 [ 1.13750078]
 [ 1.62708224]
 [ 0.51460418]
 [ 0.81513763]
 [ 1.09877709]
 [ 1.27856331]
 [ 0.43981908]
 [ 0.60183651]
 [ 0.60171493]
 [ 0.55435429]
 [ 0.12811544]
 [-0.04189321]
 [-0.6236241 ]
 [-1.13045255]
 [-0.20913842]
 [-0.52288179]
 [-1.13750078]
 [-1.62708224]
 [-0.51460418]
 [-0.81513763]
 [-1.09877709]
 [-1.27856331]
 [-0.43981908]
 [-0.60183651]
 [-0.60171493]
 [-0.55435429]]","[[ 0.00716166]
 [ 0.01609804]
 [ 0.03460048]
 [ 0.0476521 ]
 [ 0.0320096 ]
 [ 0.06407374]
 [ 0.10018278]
 [ 0.11122121]
 [ 0.04921231]
 [ 0.1007239 ]
 [ 0.14687227]
 [ 0.14843984]
 [ 0.04010598]
 [ 0.08624097]
 [ 0.12391926]
 [ 0.11858201]
 [-0.00716166]
 [-0.01609804]
 [-0.03460048]
 [-0.0476521 ]
 [-0.0320096 ]
 [-0.06407374]
 [-0.10018278]
 [-0.11122121]
 [-0.04921231]
 [-0.1007239 ]
 [-0.14687227]
 [-0.14843984]
 [-0.04010598]
 [-0.08624097]
 [-0.12391926]
 [-0.11858201]]"
